ID,tweet,fecha,usuario,dispositivo
1305221750419062793,"Hay que ser pobre para entrar en el reino de los cielos @lopezobrador_:
Solo se secuestra a los ricos a los jodidos, nadie los quiere.... secuestrar logía de #AMLO co
https://t.co/sGDl7f7agx @CartonCalderon @reforma https://t.co/nWMLFbNnlw",2020-09-13 19:08:09,RafaNormaMende1,Twitter Web App
1305221729275445248,@pattygmiranda Suscribo #AmloElMejorPresidenteDelMundo #AMLOLujoDePresidente #AMLOEstamosContigo #AMLONoEstaSolo #AMLO 👏👏👏👏,2020-09-13 19:08:04,MaraLuna23,Twitter for Android
1305221551625699328,"Solo que le están aumentando a lo 💩💩💩 que ya eran y era de esperarse no logran bajar ni un punto porcentual a #AMLO por el contrario yo ya converse con gente que no lo quería en mi colonia y ya se dieron cuenta de su error, seguimos trabajando en eso. https://t.co/sqZ8D2D3Li",2020-09-13 19:07:22,TZoquette,Twitter for iPhone
1305221365985730560,"@MorenaVoto @elpaismexico De #AMLO a #AmloElFracasoPresidencial #Ineptitud #Ineptocracia el pueblo lo juzga pero el culpa al pasado. Y si eso paso ahora demuetra que tu si haces bien tu trabajo. Devuelve hospitales, baja impuestos a pequeño comercio, y deja de robar #Ladron",2020-09-13 19:06:38,vickymejia1268,Twitter for Android
1305221319953469440,"@rochaperiodista ¿Osea que su le hizo caso a #Amlo? Le dijo que marchará al #INECorrupto, ¿es desde ahí? 
Vaya con el exnarcopresidente.",2020-09-13 19:06:27,AlinGabAlexa,Twitter for Android
1305221054185566209,@Flavio6107ROCA @axtzco63 @RoanaBuenavent1 @rociomag3 @mima650217 @Consuelolvare11 @chioreya @platagarbutt31 @L_Boop @Carmen04703353 @Tia_Jacinta_C @more70mart @fabiolamirap @anapomela @Jennymarvit @Xochitl28460023 @DIVALUSTAR @laadelita3 @JanettePoncede3 @Carpe1973Diem @rturrent @grdparpia @Hannak13586305 @ClaudinskaM @martuchi63 @LauraOrtMart @ErikaPolet1 @piojo22e @PatyArmendariz @FannyVG50 Te sigo me sigues #amlo,2020-09-13 19:05:23,foa2000,Twitter for Android
1305220768800952320,"Todo nuestro apoyo 💪 a esta gran figura Mundial @soluterionte desde México pendientes por su seguridad

@m_ebrard 
@DrOndarza 
@_markgerard 
@lopezobrador_ 
@M_OlgaSCordero 
#AMLO 
#RedAMLO https://t.co/20TeGMRzuJ",2020-09-13 19:04:15,Vampiroperver,Twitter for Android
1305220507898384387,"#AMLO ""pasa lista"" de honor a los Niños Héroes de Chapultepec

Debería pasar lista a los niños héroes que han muerto por falta de quimios y tratamiento vs el cáncer.

#QuimiosYa",2020-09-13 19:03:13,CronistaCDMX,Twitter Web App
1305219974181662720,@SinLinea_Mx Es el planeta de los simios  vs #AMLO https://t.co/u1Bj4Fud5r,2020-09-13 19:01:06,elrisuen,Twitter for Android
1305219849166168065,"El Poder Judicial Está plagado de egresados  de la Libre De Derecho, la más Fascista universidad privada alma mater de FECAL. Es por ello la observación de #AMLO En el sentido de firmar ipso facto, la solicitud de extradición que presente el Departamento de Estado de los EU https://t.co/okUOt3DDSE",2020-09-13 19:00:36,VikyGodiva,Twitter for iPhone
