ID,tweet,fecha,usuario,dispositivo
1297326749785772032,"@martinezmau @DonPorfifirio @EstefaniaVeloz El padre de está tipa es un SALINISTA corrupto. Que mandó asesinar a Héctor ""El Gato"" Feliz, periodista del Semanario ZETA de Tijuana

El tipejo salió impune de tan horrendo crimen #AmloDelincuenteConfeso #AMLOcorrupto #AMLO @ZETATijuana #LosLopezSonUnFraude #LosLopezTambienRoban",2020-08-23 00:16:14,Miss_AMLO,Twitter for Android
1297326535964340226,@jorgeramosnews @lopezobrador_ No le pidas peras al #AMLO,2020-08-23 00:15:23,360_Sol,Twitter for Android
1297326463012597760,"La oposición dice que #Amlo ha generado 10 millones de pobres mas( Pamplinas)🙄 Por que ellos  no toman en cuenta los pobres que #Amlo recibió 49.9% que correspondía año 2018 
52 millones 425,887
Y los 4 millones de nuevos nacimientos 
Y el Pri y el Pan que hizo en 30 años ? 
🤷‍♀️",2020-08-23 00:15:06,DulceMaria_1966,Twitter for Android
1297326445874876416,"La posición de #AMLO ha cambiado. El 24 de enero afirmaba ""No hay desabasto"" de medicamentos. Lo curioso es que cuando había #corrupción sí había medicamentos, mientras que hoy, que supuestamente ya no hay corrupción, no. cc

Es mera incapacidad de la 4T. #AbreLosOjos",2020-08-23 00:15:02,caracusmx,Hootsuite Inc.
1297326104110399491,"Así es como @BeatrizGMuller justifica que Pío -su cuñado- recibió fajos de billetes para apoyar campaña de #AMLO cuando era candidato presidencial, por parte de David León. 😂 El chiste se cuenta... https://t.co/7wZMcv3UaG",2020-08-23 00:13:41,bon_miller,Twitter for Android
1297325990700560386,Yo te creo #AMLO,2020-08-23 00:13:13,mikecorleonebis,Twitter for Android
1297325858760220673,"@El_Universal_Mx Señor presidente #AMLO : usted es el fracaso de presidente más grande que he visto, además de que solo habla y dice lo que no dañe su imagen. Además no sabe nada de economía y no acepta críticas. Y el sector salud es deplorable porque USTED no hace nada para apoyarlo.",2020-08-23 00:12:42,AbrahamRuizG1,Twitter for Android
1297325814413799424,"Poquito o mucho,  la costumbre crea hábito. Y después de 18 años de robar todos los días, para  #lopezFALSO y CORRUPTO mentir, transar, robar y traicionar resulta tan natural como respirar. 
4ta Jornada #OcupaLaPlaza y #CaravanaMovil
#SomosMexico y estamos hartos de #AMLO-LAYIN https://t.co/C8dq4rUDUL",2020-08-23 00:12:31,MariaMa02837483,Twitter for Android
1297325431092215808,"#FRENAAA
#NosEstanMasacrando 
#AMLO 
#AmloCorruptoMafioso 
#AMLOelPeorPresidenteDelMundo 
#lopezFALSO 
#LopezEstasBienPendejo 
#MorenaCuevaDeLadrones 

VAMOS MONTERREY VAMOS MÉXICO ESTAMOS DESTINADOS A LUCHAR POR LA PATRIA
VIVA MÉXICO https://t.co/bTCrxtAWH2",2020-08-23 00:11:00,JessDGuerra1,Twitter for Android
1297325201932222465,"@Excelsior @lopezobrador_ Perfecto vídeo...pero dice lo mismo pero con otras palabras y en alrededor de media hora. Si hablara e hiciera algo como tal estaría bien, pero solo habla y dice lo mismo.
Sin duda #AMLO llegó a la presidencia para ser populista de primera.",2020-08-23 00:10:05,AbrahamRuizG1,Twitter for Android
1297325152225484801,"Con gran éxito se llevó a cabo virtual y presencialmente el XI Congreso Nacional Ordinario de Partido del Trabajo, donde se aprobó su estrategia político-electoral y su plan de trabajo 2021
El Dir Nacional Alberto Anaya ratificó todo el apoyo del #PT al Presidente #AMLO y a #4T https://t.co/kJ3KoY1zA6",2020-08-23 00:09:54,eljovencarrillo,Twitter Web App
1297324808087117824,#AMLO sabatina desde Palacio: Periodo neoliberal en México fue sinónimo de corrupción https://t.co/PDPwNpZuGR,2020-08-23 00:08:32,NuevaRepublica,dlvr.it
1297323656842903552,@lopezobrador_ No tienes madre cínico corrupto 20 años  de robarle a México llegas disque  de presidente y destruyes México #AmloCorruptoMafioso #AMLO #LopezMexicoTeRepudia #AmloDelincuenteConfeso #LopezCorruptoInepto #LopezElPeorPresidenteDelMundo no lo defiendan @FGRMexico @INEMexico,2020-08-23 00:03:57,potrogdl,Twitter for Android
1297323207192707073,Ahí te hablan pendejo #amlo @lopezobrador_ https://t.co/Igt3Ix5g2C,2020-08-23 00:02:10,BadM0therFuckr,Twitter for iPad
1297322717159424001,"@charlsch2 @deniscrd1508 @avieu @lopezobrador_ Por años se han llenado de dinero y se refugian en un vídeo pedorro Para decir que es lo mismo, jajajaja
Pude más su odio
Adelante
Aquí estaremos para apoyar a nuestro Presidente #AMLO",2020-08-23 00:00:13,kensondragroon,Twitter for Android
1297322699392462848,@HLGatell @SSalud_mx Alabado seas dr gatell honorable subsecretario de mi señor #AMLO,2020-08-23 00:00:09,JorgeEs01329333,Twitter for iPhone
1297322400770592768,"@lopezobrador_ https://t.co/UKqBOlcglV

#Monreal y #velasco gobernador de Chiapas, incurren en tráfico de influencias; para interceder por 3 jovencitas enviadas por Monreal y para trasladar un millón de pesos.
#morena #AMLO #LeonaVicario #INE",2020-08-22 23:58:58,julomi444,Twitter for Android
1297322374572974080,"@lopezobrador_ Eres igual o más corrupto que tus antecesores. Tienes décadas viviendo de #Aportaciones y en realidad no sabes de que se trata el trabajo real, el que hacemos l mayoría de los mexicanos. #NoMerecesSerPresidente #AMLO",2020-08-22 23:58:51,benitordzcuesta,Twitter for iPhone
1297322292926730240,"Usuarios comentan sobre #Madero, quién según #AMLO también recibió 'aportaciones"" para su movimiento

Recopilamos 55 mil twits que lo mencionaron, realizamos #datamining, generamos el análisis de palabras frecuentes y el perfil horario de publicaciones

#DataScience 
#FelizSabado https://t.co/87bMjhqo1x",2020-08-22 23:58:32,CardanoAE,Twitter for Android
1297322257518407681,"@SantaCarmelaC Esta es la justicia que la 4 T logra...que la ley se pierda para que el ciudadano se convierta en un animal vengativo, el ladrón debe pagar pero no así, porque así su acción convierte en asesinos a los otros que creen que hacen justicia, #AMLO disfruta esto, yo no, soy ser humano",2020-08-22 23:58:23,JULAROSI,Twitter for iPhone
1297322006287757313,Los que defienden a #amlo alias #ElCacas como el maiceado de @jgnaredo claramente lo hacen para ganarse su sueldo cortesía de la #4T y para muestra un botón... https://t.co/7TgW9xaa1m,2020-08-22 23:57:24,BadM0therFuckr,Twitter for iPad
1297320949516103681,"Hay un cuarto tipo, los que aman con pasión desmedida e infinita a #Amlo pero sabemos que es con interés: @AntonioAttolini, @padresolalinde, @lordmolecula, @jgnaredo  por citar a algunos. https://t.co/Smnc5KhNqp",2020-08-22 23:53:12,alva031,Twitter for Android
1297319123102265344,"@lopezobrador_ que caigan todos no solamente tus adversarios o la oposición, ve por deschamps, ve por elba esther, por tu hermano, por todos los corruptos de tu equipo, la justicia debe de ser para todos no solamente para tu cacería de brujas #Amlo #4T",2020-08-22 23:45:56,ray_coxi,Twitter Web App
1297318844294406145,"Periodo neoliberal en México fue sinónimo de corrupción https://t.co/a7tMVg17ez via @YouTube

#amlo leyendo la declaración de #lozoya

Hahaha @alvaro_delgado @julioastillero @paezvarela",2020-08-22 23:44:50,VeroArtistBlue,Twitter for iPad
1297318765177327616,@fmartinmoreno @Sabueso2000 Y no es la única frase o estrategia que son iguales.... Rásquenle un poquito a la historia Nazi y encontrarán u  sin fin de similitudes con #AMLO,2020-08-22 23:44:31,WiBe00,Twitter for Android
1297318002468237312,"@lopezobrador_ Es un honor estar con mi Presidentazo de Oro!!
Nuevo León con #AMLO....!! https://t.co/1JMehzxJn7",2020-08-22 23:41:29,PeregrinoElMozo,Twitter Web App
1297317536422408192,#amlo está hablando de el caso #Lozoya ahorita...... https://t.co/APvxFaUoGl,2020-08-22 23:39:38,VeroArtistBlue,Twitter for iPad
1297317496286932992,"🚨La estupidez de los miembros de #FRENA no tiene límite sin duda alguna. Cheque usted este video

#blogdelpueblo #amlo #amlovers #amlove #redamlo #redamlove #redamlovers https://t.co/KI3I6IOoxG",2020-08-22 23:39:28,blogdelpueblo,Twitter for iPhone
